province,points,price,lat,lon,province average points,province average price,province average utility,price dollars
Achaia,85.80,23.0,38.1158729,21.9522491,85.8,23.0,3.73,$23.00
Aconcagua Costa,87.63,23.074074074074073,-32.653179000000016,-70.01086749999996,87.62962962962962,23.074074074074066,3.80,$23.07
Aconcagua Valley,88.19,40.29824561403509,-32.65317899999994,-70.01086750000009,88.19298245614046,40.29824561403519,2.19,$40.30
Aegean,88.95,33.40909090909091,39.019184,25.268554999999996,88.95454545454548,33.409090909090885,2.66,$33.41
Ahr,90.22,59.111111111111114,41.12231269999999,-73.3724166,90.22222222222223,59.1111111111111,1.53,$59.11
Alenquer,87.50,10.0,39.0574004,-9.0063654,87.5,10.0,8.75,$10.00
Alentejano,87.99,21.49208282582217,38.89584820000072,-77.05568269999827,87.99269183922095,21.492082825821942,4.09,$21.49
Alentejo,88.68,26.849397590361445,45.533784700000055,-73.59838689999982,88.680722891566,26.849397590361484,3.30,$26.85
Alenteo,88.00,18.0,45.5337847,-73.5983869,88.0,18.0,4.89,$18.00
Algarve,86.89,18.0,37.017953799999994,-7.930834000000003,86.8888888888889,18.0,4.83,$18.00
Alsace,89.60,30.376804843968326,48.318179499998514,7.441624099999907,89.60316721006332,30.37680484396734,2.95,$30.38
America,86.51,19.894736842105264,37.09024,-95.712891,86.50526315789467,19.89473684210525,4.35,$19.89
Amindeo,83.50,27.5,40.6905178,21.6797432,83.5,27.5,3.04,$27.50
Amyndeon,86.60,31.2,40.6905178,21.6797432,86.6,31.2,2.78,$31.20
Andalucia,89.73,35.48936170212766,37.5442706000001,-4.727752799999988,89.72872340425559,35.489361702127745,2.53,$35.49
Ankara,88.94,25.444444444444443,39.933363500000006,32.85974190000001,88.9444444444444,25.44444444444445,3.50,$25.44
Apalta,88.08,39.75,37.66758649999999,-77.57112099999998,88.08333333333336,39.75,2.22,$39.75
Arcadia,87.00,40.0,37.5557825,22.3337769,87.0,40.0,2.17,$40.00
Arizona,84.88,29.2,34.048928100000005,-111.0937310999999,84.875,29.200000000000024,2.91,$29.20
Armenia,87.50,14.5,40.069099,45.038189,87.5,14.5,6.03,$14.50
Atalanti Valley,87.64,23.785714285714285,38.652866300000014,22.998360999999992,87.64285714285712,23.78571428571428,3.68,$23.79
Attica,85.83,19.833333333333332,42.8226861,-78.27039509999999,85.83333333333333,19.833333333333332,4.33,$19.83
Australia Other,85.48,12.427966101694915,-35.32157749999994,149.09653840000036,85.48305084745763,12.427966101694896,6.88,$12.43
Austria,87.09,29.045454545454547,47.516230999999976,14.550072,87.09090909090907,29.045454545454547,3.00,$29.05
Awatere Valley,88.74,20.444444444444443,-42.08519909999998,173.261074,88.74074074074072,20.444444444444454,4.34,$20.44
Baden,89.68,55.483870967741936,40.6350668,-80.22811590000002,89.67741935483873,55.48387096774194,1.62,$55.48
Bairrada,88.77,25.5625,40.74923409999995,-73.64168109999993,88.76874999999976,25.5625,3.47,$25.56
Beira Atlantico,90.00,23.928571428571427,-19.831594900000002,34.837018300000004,90.0,23.928571428571427,3.76,$23.93
Beira Interior,88.97,18.08823529411765,40.277859000000014,-7.508983,88.97058823529413,18.088235294117645,4.92,$18.09
Beiras,90.00,26.928571428571427,43.682020400000006,-79.4663498,90.0,26.928571428571427,3.34,$26.93
Bekaa Valley,86.73,25.863636363636363,34.00888899999999,36.14527799999999,86.72727272727273,25.86363636363637,3.35,$25.86
Beotia,86.00,27.0,38.3663664,23.0965064,86.0,27.0,3.19,$27.00
Black Sea Coastal,84.33,9.333333333333334,43.19049429999999,27.8761229,84.33333333333333,9.333333333333334,9.04,$9.33
Bordeaux,87.96,38.91179410294853,44.837789000001884,-0.5791799999999896,87.96226886556721,38.91179410295154,2.26,$38.91
Bot River,89.00,26.0,-34.2254252,19.1969241,89.0,26.0,3.42,$26.00
Brazil,85.00,23.5,-14.235004000000002,-51.925279999999994,85.0,23.5,3.62,$23.50
Brda,88.43,34.142857142857146,45.9975652,13.5270474,88.42857142857143,34.142857142857146,2.59,$34.14
Breede River Valley,86.00,10.0,-33.7272263,19.4735066,86.0,10.0,8.60,$10.00
Breedekloof,88.67,18.666666666666668,-33.681831,19.3143778,88.66666666666667,18.666666666666668,4.75,$18.67
British Columbia,89.73,32.39873417721519,53.72666829999986,-127.64762049999993,89.73417721518996,32.39873417721529,2.77,$32.40
Bucelas,88.89,18.166666666666668,38.9007616,-9.1181917,88.8888888888889,18.166666666666668,4.89,$18.17
Buin,91.12,83.625,-33.73093740000001,-70.7423218,91.125,83.625,1.09,$83.62
Bulgaria,84.11,9.555555555555555,42.733883,25.485829999999996,84.1111111111111,9.555555555555555,8.80,$9.56
